# tune
00000001 0.554269642873 -0.076155319810 1.079130e+00 134 1274 347 1645 1099 4666 1141 3070 531 300 82 270 5371 6772 1 1.302841e+03 3.228428e-01
# full trajectory
00000001 0.554284517774 0.600204311311 5.486995e-01 136 17896 352 23159 1119 61137 1165 40314 526 3495 83 3114 5461 78471 1 5.333693e+03 3.228701e-01
# two steps on gauge timescale
00000001 0.554284516751 0.601536311209 5.479691e-01 136 17898 352 23169 1122 61136 1164 40328 526 3503 84 3110 5469 78500 1 5.962920e+03 3.228701e-01
# 2MN instead of 2MNFG to see what kind of dH behaviour one gets using 2MN instead of 2MNFG
00000001 0.554278970175 0.331674467772 7.177209e-01 136 11967 354 15484 1124 40984 1160 27029 526 2336 84 2098 5466 52891 1 3.577528e+03 3.228636e-01
# adding the correction term
00000002 0.554272644095 0.721727291122 4.859122e-01 38270 0 135 11978 357 15500 1114 41009 1162 27049 528 2447 79 2105 5466 52997 1 3.816613e+03 3.228204e-01
00000003 0.554279482795 0.822955824435 4.391317e-01 37893 0 135 11960 352 15436 1110 40887 1156 26948 531 2493 81 2106 5409 52709 1 3.862326e+03 3.228241e-01
00000004 0.554279482795 3.553461169824 2.862539e-02 37964 0 135 11962 355 15452 1118 40954 1160 27045 531 2552 85 2103 5426 53171 0 3.886989e+03 3.228241e-01
00000005 0.554279482795 1.602311253548 2.014304e-01 37794 0 135 11958 354 15474 1113 40934 1158 27009 528 2573 85 2102 5407 52637 0 3.850408e+03 3.228241e-01
00000006 0.554279482795 5.622721165419 3.614791e-03 37873 0 135 11967 354 15490 1110 40965 1158 27024 522 2531 85 2108 5437 52945 0 3.867091e+03 3.228241e-01
00000007 0.554279482795 3.435761563480 3.220088e-02 37736 0 134 11980 351 15472 1106 40971 1152 27003 527 2534 84 2107 5387 52938 0 3.845261e+03 3.228241e-01
00000008 0.554293342858 0.011437946931 9.886272e-01 37601 0 134 12013 351 15543 1102 41152 1147 27160 530 2595 85 2112 5364 53008 1 3.962963e+03 3.228380e-01

# going back to 2MNFG to test dependence of mshift solver on precision and refinement precision

# multishift double
00000001 0.554266326458 4.285726841539 1.376361e-02 22397 0 134 17871 257 19820 1106 61075 965 37027 535 3968 83 3116 3932 67843 0 6.174641e+03 3.228417e-01
# multishift single
00000001 0.554266326458 4.284228889272 1.378425e-02 37364 0 134 17876 349 23011 1104 61060 1144 40157 535 3965 83 3120 5344 78473 0 5.785515e+03 3.228417e-01
# multishift single-half
00000001 0.554266326458 4.283815886825 1.378994e-02 37505 0 134 17878 350 23076 1105 61065 1145 40228 535 3966 83 3120 5364 78609 0 5.686869e+03 3.228417e-01
